"protein_id","n_valid","loess_corr","loess_mae_z","loess_converged","rank","EntrezGeneSymbol","TargetFullName","Target","UniProt"
"X8380.244",146,-0.86779093668172,1.43339078801413,TRUE,6492,"DLK1","Protein delta homolog 1:Cytoplasmic domain","DLK1:CD","P80370"
"X13985.12",143,-0.86828620621015,1.59388287422094,TRUE,6493,"SMURF2","E3 ubiquitin-protein ligase SMURF2","SMUF2","Q9HAU4"
"X4979.34",145,-0.868579403306478,1.4729993169594,TRUE,6494,"DPT","Dermatopontin","DERM","Q07507"
"X9890.8",146,-0.868731899008519,1.46710136025718,TRUE,6495,"TPM3","Tropomyosin alpha-3 chain","Tropomyosin alpha-3 chain","P06753"
"X11825.27",146,-0.86914067772426,1.51007651587578,TRUE,6496,"PPARGC1A","Peroxisome proliferator-activated receptor gamma coactivator 1-alpha","PRGC1","Q9UBK2"
"X17843.30",146,-0.869364349097023,1.54116199387233,TRUE,6497,"PPCS","Phosphopantothenate--cysteine ligase","PPCS","Q9HAB8"
"X9386.42",143,-0.869845823611376,1.53699389721265,TRUE,6498,"TTC9B","Tetratricopeptide repeat protein 9B","TTC9B","Q8N6N2"
"X15460.9",144,-0.870127051371198,1.51544013450221,TRUE,6499,"DPP4","Dipeptidyl peptidase 4","CD26","P27487"
"X10445.20",146,-0.870621536468075,1.63153568112909,TRUE,6500,"APOM","Apolipoprotein M","ApoM","O95445"
"X9991.112",142,-0.870781689461926,1.56766965020984,TRUE,6501,"EMILIN3","EMILIN-3:region 2","EMIL3:region 2","Q9NT22"
"X22548.18",144,-0.871091434164066,1.49258255428104,TRUE,6502,"RGS13","Regulator of G-protein signaling 13","RGS13","O14921"
"X23341.16",146,-0.871253986556579,1.59743273242526,TRUE,6503,"DMC1","Meiotic recombination protein DMC1/LIM15 homolog","DMC1","Q14565"
"X8479.4",144,-0.87131275698662,1.66147894003055,TRUE,6504,"MMP10","Stromelysin-2","MMP-10","P09238"
"X21203.14",144,-0.871328834350896,1.54035616154659,TRUE,6505,"MRFAP1L1","MORF4 family-associated protein 1-like 1","MR1L1","Q96HT8"
"X8070.88",144,-0.87162224624895,1.56528727701318,TRUE,6506,"DLG4","Disks large homolog 4","DLG4","P78352"
"X11667.29",144,-0.871654143044617,1.63900328265374,TRUE,6507,"TNS2","Tensin-2","TENC1","Q63HR2"
"X12503.5",141,-0.871780380874092,1.55266169436055,TRUE,6508,"GPR68","Ovarian cancer G-protein coupled receptor 1","SPR1","Q15743"
"X4124.24",144,-0.871823213302411,1.60537594986978,TRUE,6509,"HSPA1A","Heat shock 70 kDa protein 1A","HSP 70","P0DMV8"
"X21239.31",143,-0.872156257567238,1.50138008278587,TRUE,6510,"CYTH1","Cytohesin-1","CYH1","Q15438"
"X4123.60",146,-0.87230678456976,1.61084025337667,TRUE,6511,"FGF4","Fibroblast growth factor 4","FGF-4","P08620"
"X8337.65",146,-0.872372343420398,1.61303164965662,TRUE,6512,"PTPRU","Receptor-type tyrosine-protein phosphatase U","PTPRU","Q92729"
